"cell","net_global","q_global","net_context","q_context"
"CD4conv",0.0123,0.197044334975369,0.0123,0.178244211227719
"CD8",0.0082,0.175912043978011,0.0083,0.178244211227719
"Endo",0.0135,0.175912043978011,0.0135,0.178244211227719
"Bcell",0.0124,0.175912043978011,0.0125,0.178244211227719
"Mast",0.0097,0.197044334975369,0.0098,0.178244211227719
"DC",0.0126,0.175912043978011,0.0126,0.178244211227719
"Macrophage",0.0017,0.0299850074962519,-3e-04,0.38552152495181
"Tumor",0.0151,0.606363484924205,0.0151,0.68215892053973
"Treg",0.0145,0.567216391804098,0.0139,0.692986839913377
"CAF",0.0155,0.695652173913043,0.0155,0.71864067966017
