"ligand","receptor","prior_sign","receiver","act","supp","data_sign","agree"
"PVR","CD96",-1,"CD8",1.234,1.573,-1,TRUE
"HMGB1","HAVCR2",-1,"CD8",1.234,1.573,-1,TRUE
"LGALS3","LAG3",-1,"CD8",1.234,1.573,-1,TRUE
"CD160","TNFRSF14",-1,"CD8",1.234,1.573,-1,TRUE
"HLA-G","KIR2DL4",-1,"NK",1.834,-0.127,1,FALSE
"TNF","TNFRSF1B",-1,"CD8",1.234,1.573,-1,TRUE
"TGFB1","TGFBR1",-1,"CD8",1.234,1.573,-1,TRUE
"TGFB1","TGFBR2",-1,"CD8",1.234,1.573,-1,TRUE
"TGFB2","TGFBR1",-1,"CD8",1.234,1.573,-1,TRUE
"TGFB3","TGFBR1",-1,"CD8",1.234,1.573,-1,TRUE
"IL4","IL4R",-1,"Macrophage",1.724,1.347,1,FALSE
"IL13","IL13RA1",-1,"Macrophage",1.724,1.347,1,FALSE
"CSF1","CSF1R",-1,"Macrophage",1.724,1.347,1,FALSE
"VEGFA","FLT1",-1,"Macrophage",1.724,1.347,1,FALSE
"CXCL12","CXCR4",-1,NA,NA,NA,NA,NA
"TNFSF14","TNFRSF14",1,"CD8",1.234,1.573,-1,FALSE
"IFNG","IFNGR1",1,"CD8",1.234,1.573,-1,FALSE
"IFNG","IFNGR2",1,"CD8",1.234,1.573,-1,FALSE
"IL1B","IL1R1",1,"CD8",1.234,1.573,-1,FALSE
"TNF","TNFRSF1A",1,"CD8",1.234,1.573,-1,FALSE
"TNFSF13B","TNFRSF13B",1,NA,NA,NA,NA,NA
